title,author,genre,start_date,end_date,year,page_count,audiobook
Introvert Advantage,,,,,,,
"Haters: Harassment, Abuse, and Violence Online",Bailey Poland,,,,,,
Fanocracy,David Meerman Scott,,,,,,
The Infinite Game,Simon Sinek,,,,,,
Out of Office,Charlie Warzel and Anne Helen Petersen,,,,,,
Why We Sleep,Matthew Walker,,,,,,
It Doesn't Have to Be Crazy at Work,Jason Fried and David Heinemeier Hansson,,,,,,
Springboard,G. Richard Shell,,,,,,
Outliers,Malcolm Gladwell,,,,,,
Lincoln on Leadership Today,Donald T. Phillips,,,,,,
Range,David Epstein,,,,,,
Buy-ology,Martin Lindstrom,,,,,,
Truth and Lies About Why We Buy,,,,,,,
Measure What Matters,John Doerr,,,,,,
The Book of Why,Judea Pearl & Dana Mackenzie,,,,,,
Ego Is the Enemy,Ryan Holiday,,,,,,
"Thinking, Fast and Slow",Daniel Kahneman,,,,,,
Spark,John J. Ratey,,,,,,
Million Dollar Habits,Stellan Moreira,,,,,,
Storyworthy,Matthew Dicks,,,,,,
Crucial Conversations,,,,,,,
Perfect,,,,,,,
The New Rational Manager,Charles Kepner,,,,,,
The River of Doubt: Theodore Roosevelts Darkest Journey,Candice Millard,,,,,,
12 Rules for Life,Jordan Peterson,,,,,,
Golf Is Not a Game of Perfect,Dr. Bob Rotella,,,,,,
Winning Ugly,Brad Gilbert and Steve Jamison,,,,,,
Rafa,Rafael Nadal and John Carlin,,,,,,
Mustang Miracle,Humberto G. Garcia,,,,,,
Factfulness,Hans Rosling,,,,,,
Sapiens,Yuval Noah Harari,,,,,,
Steal the Show,Michael Port,,,,,,
The Art of Teams,,,,,,,
Prediction Machines,,,,,,,
The Model Thinker,Scott E. Page,,,,,,
Payoff,Dan Ariely,,,,,,
The Practice of Statistics,,,,,,,
The Art of Statistics,David Spiegelhalter,,,,,,
Inside the Global Supply Chain,Peter Goodman,,,,,,
Teams of Teams,Stanley McChrystal,,,,,,
Becoming a Data Head,,,,,,,
The Art of Data Science,,,,,,,
How Successful People Think,,,,,,,
Rich Dad Poor Dad,Robert T. Kiyosaki,,,,,,
How to Day Trade for a Living,Dr. Andrew Aziz,,,,,,
Jordan Belfort Way of the Wolf,Jordan Belfort,,,,,,
Financial Freedom with Real Estate Investing,Michael Blank,,,,,,
Just Keep Buying,Nick Maggiulli,,,,,,
A Random Walk Down Wall Street,Burton G. Malkiel,,,,,,
Market Mover,Robert Greifeld,,,,,,
The Psychology of Money,Morgan Housel,,,,,,
Cryptoassets,,,,,,,
The Promise of Bitcoin,,,,,,,
The Turnaround Intelligence,Behnam Tabrizi,,,,,,
I Will Teach You to Be Rich,Ramit Sethi,,,,,,
The Intelligent Investor,Benjamin Graham,,,,,,
Think and Grow Rich,Napoleon Hill,,,,,,
The Denman Thesis: The Original MBA,,,,,,,
Life & Work,,,,,,,
Dalio Principles,Ray Dalio,,,,,,
Value Investing,,,,,,,
The Ultimate Day Trader,,,,,,,
the Richest Man in Babylon,George S Clason,,,,,,
StrengthsFinder 2.0,From Gallup,,,,,,
Wellth,Jason Wachob,,,,,,
The First-Time Manager,"Belker, McCormick, Topchik",,,,,,
Talent,Tyler Cowen and Daniel Gross,,,,,,
Billion Dollar Brand Club,Lawrence Ingrassia,,,,,,
American Icon,Bryce G. Hoffman,,,,,,
"Creativity, Inc.",Ed Catmull,,,,,,
What Color Is Your Parachute,,,,,,,
The Making of a Manager,Julie Zhao,,,,,,
The Proximity Principle,Ken Coleman,,,,,,
The Target Story,,,,,,,
Phil Knight Shoe Dog,Phil Knight,,,,,,
Working Backwards,Colin Bryar and Bill Carr,,,,,,
The Spotify Plan,,,,,,,
"The four: The Hidden DNA of Amazon, Apple, Facebook, and Google",,,,,,,
For the Culture,Marcus Collins,,,,,,
"It's Not What We Play, It's What We Are",,,,,,,
Life after Google,,,,,,,
The Airbnb Way,,,,,,,
Naked Statistics,Charles Wheelan,,,,,,
Weapons of Math Destruction,Cathy O'Neil,,,,,,
All You Can Pay,Anna Bernasek and D.T. Mongan,,,,,,
The AI Edge,Blount Iannarino,,,,,,
Tools and Weapons,Brad Smith and Carol Ann Browne,,,,,,
Analytics of Life,Mert Damlapinar,,,,,,
How Charts Lie,Alberto Cairo,,,,,,
Effective Data Storytelling,Dykes,,,,,,
Fooled by Randomness,Nassim Nicholas Taleb,,,,,,
The Data Detective,Tim Harford,,,,,,
Small Data,Martin Lindstrom,,,,,,
Superforecasting,Philip Tetlow,,,,,,
Leading with AI and Analytics,,,,,,,
The Data Science Handbook,,,,,,,
Hello World: Being Human in The Age of Algorithms,Hannah Fry,,,,,,
Predictably Irrational,Dan Ariely,,,,,,
The Wisdom of Crowds,,,,,,,
Ace the Data Science Interview,,,,,,,
The 4 Disciplines of Execution,,,,,,,
Extreme Ownership,,,,,,,
Atomic Habits,James Clear,,,,,,
Doesn't Hurt to Ask,Trey Gowdy,,,,,,
High Performance Habits,Brendon Burchard,,,,,,
The Startup of You,,,,,,,
I Talk Like Ted,,,,,,,
Simon Sinek Leaders Eat Last,Simon Sinek,,,,,,
Scott Adams Win Bigly,Scott Adams,,,,,,
How to Fail at Almost Everything and Still Win Big,,,,,,,
What Every Body Is Saying,Joe Navarro,,,,,,
So Good They Can't Ignore You,Cal Newport,,,,,,
Never Split the Difference,Chris Voss,,,,,,
The Obstacle Is the Way,Ryan Holiday,,,,,,
The One Thing,,,,,,,
Grit,Angela Duckworth,,,,,,
The Power of Habit,,,,,,,
The Secret Lives of Introverts,,,,,,,
Rise and Grind,Daymond John,,,,,,
Fifty Inventions That Shaped the Modern Economy,Tim Harford,,,,,,
Good Strategy Bad Strategy,,,,,,,
Side Hustle,Chris Guillebeau,,,,,,
How to talk to anyone,,,,,,,
The Long Game,Dorie Clark,,,,,,
The Miracle Morning,Hal Elrod,,,,,,
The Almanack of Naval Ravikant,Eric Jorgenson,,,,,,
Allen Carr's Quit Drinking,Allen Carr,,,,,,
The Subtle Art of Not Giving a F*ck,Mark Manson,,,,,,
Brain Rules,John Medina,,,,,,
Quiet,Susan Cain,,,,,,
Deep Work,Cal Newport,,,,,,
Digital Minimalism,Cal Newport,,,,,,
Digital Body Language,Erica Dhawan,,,,,,
Character Carved in Stone,,,,,,,
The Defining Decade,,,,,,,
The Power of Now,Eckhart Tolle,,,,,,
Leading with Heart,Coach K,,,,,,
Stillness Is the Key,Ryan Holiday,,,,,,
Unfu*k yourself,,,,,,,
The Happiness Advantage,Shawn Achor,,,,,,
Quaterlife Crisis,,,,,,,
The Energy Bus,Jon Gordon,,,,,,
Think Like a Rocket Scientist,Ozan Varol,,,,,,
The Alchemy of Air,Thomas Hager,,,,,,
Irresistible,Adam Alter,,,,,,
The Career Manifesto,Mike Steib,,,,,,
The Lean Startup,Eric Ries,,,,,,
Good Economics for Hard Times,,,,,,,
So you have been publically shamed,,,,,,,
Nudge,,,,,,,
Winners Never Cheat,,,,,,,
Expert Secrets,Russell Brunson,,,,,,
Contagious,Jonah Berger,,,,,,
Thinking in Bets,Annie Duke,,,,,,
the signal and the noise,Nate Silver,,,,,,
Five Stars The Communication Secrets from Good to Great,Carmine Gallo,,,,,,
The 50th Law,50 Cent,,,,,,
"Alchemy: The Dark Art in Brands, Business, and Life",Rory Sutherland,,,,,,
MoneyZen,Manisha Thakor,,,,,,
Tiny Experiments,Anne-Laure Le Cunff,,,,,,
How to Break 90,,,,,,,
The Fourth Turning,William Strauss & Neil Howe,,,,,,
The Great Game of Business,Jack Stack,,,,,,
Super Pumped,Mike Isaac,,,,,,
Bullshit Jobs,David Graeber,,,,,,
Powerful,Patty McCord,,,,,,
The Technological Republic,Alexander C. Karp,,,,,,
The Consumer Insights Revolution,"Steve Phillips, Ryan Barry, Stephan Gans, Kate Schardt",,,,,,
Filterworld,Kyle Chayka,,,,,,
Revenge of the Tipping Point,Malcolm Gladwell,,,,,,
The Alignment Problem,Brian Christian,,,,,,
The Culting of Brands,Douglas Atkin,,,,,,
Corporate Finance ASAP,John Cousins,,,,,,
The Dichotomy of Leadership,Jocko Willink and Leif Babin,,,,,,
Against the Gods: The Remarkable story of risk,Peter L. Bernstein,,,,,,
The Road Less Stupid,Keith J. Cunningham,,,,,,
How Not to Invest,Barry Ritholtz,,,,,,
Slow Productivity,Cal Newport,,,,,,
Skunk Works,Ben R. Rich,,,,,,
The StatQuest Illustrated Guide to Machine Learning,"Josh Starmer, PhD",,,,,,
The Ten-Day MBA,Steven Silbiger,,,,,,
"Humor, Seriously",,,,,,,
Everything is Predictable,Tom Chivers,,,,,,
Why Machines Learn,Anil Ananthaswamy,,,,,,
The Science of Self-Learning,Peter Hollins,,,,,,
Happier Hour,Cassie Holmes,,,,,,
Indistractable,Nir Eyal,,,,,,
The Mental Game,Dorie Donnelly,,,,,,
Better Small Talk,,,,,,,
Probably the Best Book On Statistics Ever Written,,,,,,,
Why Machines learn,Anil Ananthaswamy,machinelearning/math,after Christmas,early jan,2025,430,
The Mental Game,Darrin Donnelly,Golf/mental,early jan,mid jan,2025,251,
better small talk,Patrick King,Self Help/conversations,mid jan,mid jan,2025,212,
Bullshit Jobs,David Graeber,Jobs/Work,mid jan,early feb,2025,285,
The Science of Self-Learning,Peter Hollins,Self Help/learning,early feb,early feb,2025,190,
Zen Golf,Dr Joesph Parent,Golf/mental/how to approach the game,early feb,early feb,2025,199,
