title,author,genre,start_date,end_date,year,page_count,audiobook,start_date_raw,end_date_raw
Introvert Advantage,,,,,,,False,,
"Haters: Harassment, Abuse, and Violence Online",Bailey Poland,,,,,,False,,
Fanocracy,David Meerman Scott,,,,,,False,,
The Infinite Game,Simon Sinek,,,,,,False,,
Out of Office,"Charlie Warzel, Anne Helen Petersen",,,,,,False,,
Why We Sleep,Matthew Walker,,,,,,False,,
It Doesn't Have to Be Crazy at Work,"Jason Fried, David Heinemeier Hansson",,,,,,False,,
Springboard,G. Richard Shell,,,,,,False,,
Outliers,Malcolm Gladwell,,,,,,False,,
Lincoln on Leadership Today,Donald T. Phillips,,,,,,False,,
Range,David Epstein,,,,,,False,,
Buy-ology,Martin Lindstrom,,,,,,False,,
Truth and Lies About Why We Buy,,,,,,,False,,
Measure What Matters,John Doerr,,,,,,False,,
The Book of Why,"Judea Pearl, Dana Mackenzie",,,,,,False,,
Ego Is the Enemy,Ryan Holiday,,,,,,False,,
"Thinking, Fast and Slow",Daniel Kahneman,,,,,,False,,
Spark,John J. Ratey,,,,,,False,,
Million Dollar Habits,Stellan Moreira,,,,,,False,,
Storyworthy,Matthew Dicks,,,,,,False,,
Crucial Conversations,,,,,,,False,,
Perfect,,,,,,,False,,
The New Rational Manager,Charles Kepner,,,,,,False,,
The River of Doubt: Theodore Roosevelts Darkest Journey,Candice Millard,,,,,,False,,
12 Rules for Life,Jordan Peterson,,,,,,False,,
Golf Is Not a Game of Perfect,Dr. Bob Rotella,,,,,,False,,
Winning Ugly,"Brad Gilbert, Steve Jamison",,,,,,False,,
Rafa,"Rafael Nadal, John Carlin",,,,,,False,,
Mustang Miracle,Humberto G. Garcia,,,,,,False,,
Factfulness,Hans Rosling,,,,,,False,,
Sapiens,Yuval Noah Harari,,,,,,False,,
Steal the Show,Michael Port,,,,,,False,,
The Art of Teams,,,,,,,False,,
Prediction Machines,,,,,,,False,,
The Model Thinker,Scott E. Page,,,,,,False,,
Payoff,Dan Ariely,,,,,,False,,
The Practice of Statistics,,,,,,,False,,
The Art of Statistics,David Spiegelhalter,,,,,,False,,
Inside the Global Supply Chain,Peter Goodman,,,,,,False,,
Teams of Teams,Stanley McChrystal,,,,,,False,,
Becoming a Data Head,,,,,,,False,,
The Art of Data Science,,,,,,,False,,
How Successful People Think,,,,,,,False,,
Rich Dad Poor Dad,Robert T. Kiyosaki,,,,,,False,,
How to Day Trade for a Living,Dr. Andrew Aziz,,,,,,False,,
Jordan Belfort Way of the Wolf,Jordan Belfort,,,,,,False,,
Financial Freedom with Real Estate Investing,Michael Blank,,,,,,False,,
Just Keep Buying,Nick Maggiulli,,,,,,False,,
A Random Walk Down Wall Street,Burton G. Malkiel,,,,,,False,,
Market Mover,Robert Greifeld,,,,,,False,,
The Psychology of Money,Morgan Housel,,,,,,False,,
Cryptoassets,,,,,,,False,,
The Promise of Bitcoin,,,,,,,False,,
The Turnaround Intelligence,Behnam Tabrizi,,,,,,False,,
I Will Teach You to Be Rich,Ramit Sethi,,,,,,False,,
The Intelligent Investor,Benjamin Graham,,,,,,False,,
Think and Grow Rich,Napoleon Hill,,,,,,False,,
The Denman Thesis: The Original MBA,,,,,,,False,,
Life & Work,,,,,,,False,,
Dalio Principles,Ray Dalio,,,,,,False,,
Value Investing,,,,,,,False,,
The Ultimate Day Trader,,,,,,,False,,
the Richest Man in Babylon,George S Clason,,,,,,False,,
StrengthsFinder 2.0,From Gallup,,,,,,False,,
Wellth,Jason Wachob,,,,,,False,,
The First-Time Manager,"Belker, McCormick, Topchik",,,,,,False,,
Talent,"Tyler Cowen, Daniel Gross",,,,,,False,,
Billion Dollar Brand Club,Lawrence Ingrassia,,,,,,False,,
American Icon,Bryce G. Hoffman,,,,,,False,,
"Creativity, Inc.",Ed Catmull,,,,,,False,,
What Color Is Your Parachute,,,,,,,False,,
The Making of a Manager,Julie Zhao,,,,,,False,,
The Proximity Principle,Ken Coleman,,,,,,False,,
The Target Story,,,,,,,False,,
Phil Knight Shoe Dog,Phil Knight,,,,,,False,,
Working Backwards,"Colin Bryar, Bill Carr",,,,,,False,,
The Spotify Plan,,,,,,,False,,
"The four: The Hidden DNA of Amazon, Apple, Facebook, and Google",,,,,,,False,,
For the Culture,Marcus Collins,,,,,,False,,
"It's Not What We Play, It's What We Are",,,,,,,False,,
Life after Google,,,,,,,False,,
The Airbnb Way,,,,,,,False,,
Naked Statistics,Charles Wheelan,,,,,,False,,
Weapons of Math Destruction,Cathy O'Neil,,,,,,False,,
All You Can Pay,"Anna Bernasek, D.T. Mongan",,,,,,False,,
The AI Edge,Blount Iannarino,,,,,,False,,
Tools and Weapons,"Brad Smith, Carol Ann Browne",,,,,,False,,
Analytics of Life,Mert Damlapinar,,,,,,False,,
How Charts Lie,Alberto Cairo,,,,,,False,,
Effective Data Storytelling,Dykes,,,,,,False,,
Fooled by Randomness,Nassim Nicholas Taleb,,,,,,False,,
The Data Detective,Tim Harford,,,,,,False,,
Small Data,Martin Lindstrom,,,,,,False,,
Superforecasting,Philip Tetlow,,,,,,False,,
Leading with AI and Analytics,,,,,,,False,,
The Data Science Handbook,,,,,,,False,,
Hello World: Being Human in The Age of Algorithms,Hannah Fry,,,,,,False,,
Predictably Irrational,Dan Ariely,,,,,,False,,
The Wisdom of Crowds,,,,,,,False,,
Ace the Data Science Interview,,,,,,,False,,
